15.00	135.00
15.00	165.00
15.00	195.00
15.00	225.00
45.00	225.00
75.00	225.00
105.00	225.00
135.00	225.00
165.00	225.00
165.00	195.00
165.00	165.00
165.00	135.00
165.00	105.00
165.00	75.00
165.00	45.00
195.00	45.00
225.00	45.00
225.00	15.00
195.00	15.00
165.00	15.00
135.00	15.00
135.00	45.00
135.00	75.00
135.00	105.00
135.00	135.00
135.00	165.00
135.00	195.00
105.00	195.00
105.00	165.00
105.00	135.00
105.00	105.00
105.00	75.00
105.00	45.00
105.00	15.00
75.00	15.00
75.00	45.00
75.00	75.00
75.00	105.00
75.00	135.00
75.00	165.00
75.00	195.00
45.00	195.00
45.00	165.00
45.00	135.00
45.00	105.00
45.00	75.00
15.00	75.00
15.00	105.00
