315.00	195.00
285.00	195.00
255.00	195.00
225.00	195.00
225.00	165.00
225.00	135.00
195.00	135.00
195.00	165.00
195.00	195.00
195.00	225.00
225.00	225.00
255.00	225.00
285.00	225.00
315.00	225.00
345.00	225.00
375.00	225.00
405.00	225.00
435.00	225.00
465.00	225.00
495.00	225.00
525.00	225.00
555.00	225.00
585.00	225.00
585.00	195.00
585.00	165.00
585.00	135.00
555.00	135.00
525.00	135.00
525.00	105.00
525.00	75.00
525.00	45.00
525.00	15.00
495.00	15.00
495.00	45.00
495.00	75.00
495.00	105.00
495.00	135.00
465.00	135.00
435.00	135.00
435.00	165.00
465.00	165.00
495.00	165.00
525.00	165.00
555.00	165.00
555.00	195.00
525.00	195.00
495.00	195.00
465.00	195.00
435.00	195.00
405.00	195.00
375.00	195.00
345.00	195.00
