315.00	135.00
285.00	135.00
255.00	135.00
255.00	165.00
285.00	165.00
315.00	165.00
345.00	165.00
375.00	165.00
405.00	165.00
405.00	135.00
405.00	105.00
435.00	105.00
465.00	105.00
465.00	75.00
465.00	45.00
465.00	15.00
435.00	15.00
405.00	15.00
375.00	15.00
345.00	15.00
315.00	15.00
285.00	15.00
255.00	15.00
255.00	45.00
285.00	45.00
315.00	45.00
345.00	45.00
375.00	45.00
405.00	45.00
435.00	45.00
435.00	75.00
405.00	75.00
375.00	75.00
345.00	75.00
315.00	75.00
285.00	75.00
255.00	75.00
225.00	75.00
195.00	75.00
195.00	105.00
225.00	105.00
255.00	105.00
285.00	105.00
315.00	105.00
345.00	105.00
375.00	105.00
375.00	135.00
345.00	135.00
